,Adresse,City,Postal_Code,iD
0,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,01000,01
1,16 Avenue de Marboz,BOURG-EN-BRESSE,01000,01
2,20 Avenue du Maréchal Juin,Bourg-en-Bresse,01000,01
3,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG,01000,01
4,1 Boulevard John Kennedy,BOURG-EN-BRESSE,01000,01
5,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,01000,01
6,Bd Charles de Gaulle,BOURG-EN-BRESSE,01000,01
7,56 Rue du Stand,Bourg-en-Bresse,01000,01
8,Boulevard Charles de Gaulle,BOURG-EN-BRESSE,01000,01
9,"642, AVENUE DE TREVOUX",ST DENIS LES BOURG,01000,01
10,BOULEVARD CHARLES DE GAULLE,BOURG EN BRESSE,01000,01
11,LE GRAND RIVOLET,MONTCEAUX,01090,01
12,ROUTE DE DORTAN,Arbent,01100,01
13,Rue Brillat-Savarin,OYONNAX,01100,01
14,174 Cours de Verdun,Oyonnax,01100,01
15,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,01100,01
16,74 Rue Jules Michelet,Oyonnax,01100,01
17,174 COURS DE VERDUN,OYONNAX,01100,01
18,Rue Massonod,HAUTEVILLE-LOMPNES,01110,01
19,AUTOROUTE A 42,DAGNEUX,01120,01
20,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel,01120,01
21,Cours de la Portelle,MONTLUEL,01120,01
22, Route de Thil,LA BOISSE,01120,01
23,521 ROUTE NATIONALE,La Boisse,01120,01
24,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,01120,01
25,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,01120,01
26,ROUTE DE LA CLUSE,Nantua,01130,01
27,Moulin de Charix,LALLEYRIAT,01130,01
28,RTE DE LA CLUSE RN 84,NANTUA,01130,01
29,Chemin des Huguets,Saint-Didier-sur-Chalaronne,01140,01
30,8 RUE DE L'INDUSTRIE,LAGNIEU,01150,01
31, Avenue Charles de Gaulle,SAINT-VULBAS,01150,01
32,Route de bourg,PONT-D'AIN,01160,01
33,Le Pont Rompu - RD 1084,PONT-D'AIN,01160,01
34,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,01160,01
35,RTE DE BOURG RN 75,PONT D'AIN,01160,01
36,RN5,SéGNY,01170,01
37,Lieu-Dit les Vertes Campagnes,GEX,01170,01
38,Route de Divonne les Bains,Gex,01170,01
39, Avenue des Tilleuls,GEX,01170,01
40,PAE Pont de Vaux Est,SAINT BéNIGNE,01190,01
41,69 Rue de la République,Bellegarde-sur-Valserine,01200,01
42,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,01200,01
43,79 RUE DE LA REPUBLIQUE,BELLEGARDE,01200,01
44, Chemin de la Brunette,FERNEY-VOLTAIRE,01210,01
45,ROUTE DE GENEVE,FERNEY-VOLTAIRE,01210,01
46,Route de Meyrin,FERNEY-VOLTAIRE,01210,01
47,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,01220,01
48,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,01230,01
49,RD 1504,Torcieu,01230,01
50,A 40 - AIRE DE BOURG JASSERON,Jasseron,01250,01
51,AIRE DE BOURG TEYSONGUE A 40,Ceyzériat,01250,01
52,route de la Vavrette,TOSSIAT,01250,01
