,Adresse,City,E10,Gazole,Postal_Code,SP95,SP98,iD
0,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,Not available,"1,181",01000,"1,358","1,410",01
1,16 Avenue de Marboz,BOURG-EN-BRESSE,Not available,"1,174",01000,"1,334","1,367",01
2,20 Avenue du Maréchal Juin,Bourg-en-Bresse,Not available,"1,320",01000,"1,470",Not available,01
3,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG,Not available,Not available,01000,Not available,Not available,01
4,1 Boulevard John Kennedy,BOURG-EN-BRESSE,Not available,"1,209",01000,"1,389","1,429",01
5,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,"1,274","1,174",01000,"1,334","1,367",01
6,Bd Charles de Gaulle,BOURG-EN-BRESSE,"1,274","1,174",01000,"1,334","1,367",01
7,56 Rue du Stand,Bourg-en-Bresse,"1,274","1,174",01000,"1,334","1,367",01
8,Boulevard Charles de Gaulle,BOURG-EN-BRESSE,Not available,Not available,01000,Not available,Not available,01
9,"642, AVENUE DE TREVOUX",ST DENIS LES BOURG,"1,390","1,300",01000,Not available,"1,500",01
10,BOULEVARD CHARLES DE GAULLE,BOURG EN BRESSE,"1,295","1,176",01000,Not available,"1,389",01
11,LE GRAND RIVOLET,MONTCEAUX,"1,296","1,179",01090,Not available,"1,376",01
12,ROUTE DE DORTAN,Arbent,"1,335","1,175",01100,"1,345",Not available,01
13,Rue Brillat-Savarin,OYONNAX,Not available,"1,172",01100,"1,343","1,399",01
14,174 Cours de Verdun,Oyonnax,Not available,Not available,01100,Not available,Not available,01
15,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Not available,"1,269",01100,"1,438","1,479",01
16,74 Rue Jules Michelet,Oyonnax,Not available,"1,179",01100,"1,345",Not available,01
17,174 COURS DE VERDUN,OYONNAX,"1,379","1,269",01100,Not available,"1,489",01
18,Rue Massonod,HAUTEVILLE-LOMPNES,Not available,"1,175",01110,"1,335","1,365",01
19,AUTOROUTE A 42,DAGNEUX,Not available,Not available,01120,Not available,Not available,01
20,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel,Not available,Not available,01120,Not available,Not available,01
21,Cours de la Portelle,MONTLUEL,"1,279","1,158",01120,Not available,"1,349",01
22, Route de Thil,LA BOISSE,"1,279","1,158",01120,"1,319","1,349",01
23,521 ROUTE NATIONALE,La Boisse,"1,409","1,302",01120,Not available,"1,519",01
24,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,"1,520","1,378",01120,Not available,"1,626",01
25,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,"1,474","1,364",01120,Not available,"1,584",01
26,ROUTE DE LA CLUSE,Nantua,Not available,Not available,01130,Not available,Not available,01
27,Moulin de Charix,LALLEYRIAT,Not available,"1,261",01130,"1,434","1,466",01
28,RTE DE LA CLUSE RN 84,NANTUA,"1,305","1,181",01130,Not available,"1,389",01
29,Chemin des Huguets,Saint-Didier-sur-Chalaronne,Not available,"1,215",01140,"1,399","1,439",01
30,8 RUE DE L'INDUSTRIE,LAGNIEU,Not available,"1,189",01150,"1,369","1,418",01
31, Avenue Charles de Gaulle,SAINT-VULBAS,"1,389","1,274",01150,"1,389","1,499",01
32,Route de bourg,PONT-D'AIN,Not available,Not available,01160,Not available,Not available,01
33,Le Pont Rompu - RD 1084,PONT-D'AIN,"1,300","1,170",01160,"1,330","1,360",01
34,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,"1,299","1,179",01160,"1,329",Not available,01
35,RTE DE BOURG RN 75,PONT D'AIN,"1,305","1,176",01160,Not available,Not available,01
36,RN5,SéGNY,Not available,"1,180",01170,"1,358","1,385",01
37,Lieu-Dit les Vertes Campagnes,GEX,"1,335","1,195",01170,"1,359","1,385",01
38,Route de Divonne les Bains,Gex,"1,312","1,190",01170,Not available,"1,388",01
39, Avenue des Tilleuls,GEX,Not available,"1,258",01170,"1,407","1,437",01
40,PAE Pont de Vaux Est,SAINT BéNIGNE,Not available,"1,186",01190,"1,336","1,388",01
41,69 Rue de la République,Bellegarde-sur-Valserine,Not available,"1,174",01200,"1,357","1,384",01
42,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,"1,299","1,179",01200,"1,339",Not available,01
43,79 RUE DE LA REPUBLIQUE,BELLEGARDE,Not available,Not available,01200,Not available,Not available,01
44, Chemin de la Brunette,FERNEY-VOLTAIRE,Not available,"1,205",01210,"1,375","1,390",01
45,ROUTE DE GENEVE,FERNEY-VOLTAIRE,"1,349","1,242",01210,Not available,"1,459",01
46,Route de Meyrin,FERNEY-VOLTAIRE,"1,280","1,169",01210,"1,320",Not available,01
47,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,Not available,"1,189",01220,"1,349","1,379",01
48,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,Not available,"1,260",01230,"1,410","1,460",01
49,RD 1504,Torcieu,Not available,"1,270",01230,"1,420",Not available,01
50,A 40 - AIRE DE BOURG JASSERON,Jasseron,Not available,Not available,01250,Not available,Not available,01
51,AIRE DE BOURG TEYSONGUE A 40,Ceyzériat,"1,494","1,364",01250,Not available,Not available,01
52,route de la Vavrette,TOSSIAT,Not available,"1,249",01250,"1,409","1,439",01
53,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,"1,484","1,364",01250,Not available,"1,594",01
54, Grande Rue,COLIGNY,Not available,Not available,01270,Not available,Not available,01
55,Route de Chatillon Sur Chalaronne,LAIZ,"1,129","1,190",01290,Not available,"1,380",01
56,Boulevard de Verdun,Belley,Not available,"1,177",01300,"1,357","1,383",01
57, Rue Mante,BELLEY,Not available,"1,196",01300,"1,348",Not available,01
58,RN 504 - ZI de Penaye ,Chazey-Bons,Not available,"1,171",01300,"1,335","1,360",01
59,1123 Route de Mâcon,POLLIAT,"1,399","1,262",01310,Not available,"1,509",01
60,Lieu-dit Logis-Neuf,Confrançon,Not available,"1,195",01310,"1,335","1,375",01
61,Grande Rue,CHALAMONT,Not available,"1,310",01320,"1,460",Not available,01
62,Chemin du Petit Étang,Chalamont,"1,269","1,159",01320,"1,319",Not available,01
63,"245, Route du 3 Septembre 1944",Ambérieux-en-Dombes,Not available,"1,309",01330,"1,459","1,529",01
64,zac de la tuilerie,VILLARS-LES-DOMBES,"1,279","1,179",01330,"1,329","1,369",01
65,Rue des Luyers,MONTREVEL-EN-BRESSE,Not available,"1,179",01340,"1,356","1,384",01
66,RN.75,Malafretaz,"1,379","1,279",01340,Not available,"1,489",01
67,Les Cézilles,Jayat,Not available,"1,173",01340,"1,333","1,366",01
68,771 Route de Bourg,ATTIGNAT,Not available,"1,279",01340,"1,423","1,462",01
69, Avenue Jean Falconnier,CULOZ,Not available,"1,164",01350,"1,329","1,359",01
70,PARC D'ACTIVITE DES FOURS,Béon,Not available,"1,170",01350,"1,324","1,349",01
71, Route de Lyon,BALAN,Not available,"1,289",01360,"1,449","1,499",01
72, Route de Strasbourg,SAINT-ÉTIENNE-DU-BOIS,Not available,"1,276",01370,"1,458","1,484",01
73,1 Route du Bourg,BAGE LA VILLE,"1,279","1,169",01380,"1,325",Not available,01
74,Allées des Marronniers,Saint-André-de-Corcy,Not available,"1,179",01390,"1,329","1,369",01
75,Z.I. DE CURE,Saint-André-de-Corcy,"1,385","1,287",01390,Not available,"1,495",01
76,AIRE DE MIONNAY OUEST GALMIER A46,MIONNAY,Not available,Not available,01390,Not available,Not available,01
77,Aire de Mionnay Est Chatanay,Mionnay,Not available,Not available,01390,Not available,Not available,01
78,AIRE DE MIONNAY EST CHATANAY AUTOROUTE A 46,MIONNAY,"1,498","1,388",01390,Not available,"1,618",01
79,AIRE DE MIONNAY OUEST SAINT GALMIER,MIONNAY,"1,494","1,394",01390,Not available,"1,644",01
80,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,Not available,"1,173",01400,"1,333","1,373",01
81,AVENUE PIERRE MARCAULT,CHATILLON SUR CHALARONNE,Not available,"1,388",01400,"1,588",Not available,01
82,ROUTE DE MARLIEUX,CHATILLON SUR CHALARONNE,"1,273","1,173",01400,"1,333","1,373",01
83,AUTOROUTE A 40 - SENS PARIS PROV,CEIGNES,Not available,Not available,01430,Not available,Not available,01
84,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,"1,518","1,388",01430,Not available,"1,618",01
85,Chemin de l'Égalité,Maillat,"1,398","1,287",01430,"1,428",Not available,01
86,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,"1,474","1,344",01430,Not available,"1,584",01
87,1029 ROUTE DE MARBOZ-LOUHANS,VIRIAT,Not available,"1,300",01440,"1,460",Not available,01
88, Route de Strasbourg,VIRIAT,"1,389","1,287",01440,Not available,"1,499",01
89,261 Route de Paris,Viriat,Not available,"1,239",01440,"1,399","1,429",01
90,68 Rue du Jura,MONTREAL-LA-CLUSE,Not available,"1,183",01460,"1,360","1,389",01
91,Route de Berthiand,Nurieux-Volognat,Not available,"1,290",01460,"1,430",Not available,01
92,Rue de l'industrie ,Port,"1,330","1,199",01460,"1,389","1,405",01
93,LES GRANGES DE MONTAGNIEU,Montagnieu,Not available,Not available,01470,Not available,Not available,01
94, Rue des Verchères,BRIORD,"1,283","1,169",01470,Not available,"1,358",01
95, Rue Édouard Herriot,JASSANS-RIOTTIER,Not available,"1,179",01480,"1,354","1,379",01
96,Rue Alexandre Bérard,Ambérieu-en-Bugey,Not available,"1,189",01500,"1,369","1,418",01
97,"550, Avenue Jean Mermoz",CHâTEAU-GAILLARD,Not available,"1,339",01500,"1,489",Not available,01
98,15 Avenue de la Libération,AMBéRIEU-EN-BUGEY,Not available,"1,339",01500,"1,489","1,549",01
99,"550, RUE JEAN MERMOZ",CHâTEAU-GAILLARD,Not available,"1,339",01500,"1,489",Not available,01
100,CENTRE COMMERCIAL DE L'AVIATIONRAIS,Ambérieu-en-Bugey,"1,329","1,189",01500,"1,369",Not available,01
101,Chef Lieu,Virieu-le-Grand,Not available,"1,270",01510,"1,490","1,520",01
102,"1 rue des champs ""les terrasses""",Artemare,Not available,"1,189",01510,"1,323","1,348",01
103,Route de Neuville,VONNAS,Not available,"1,169",01540,"1,329","1,357",01
104,za les grands varays rte de neuville,Vonnas,"1,280","1,169",01540,"1,319",Not available,01
105,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,Not available,"1,179",01560,"1,328","1,364",01
106, Grande Rue,FEILLENS,Not available,"1,128",01570,"1,278",Not available,01
107,Rue du 21 Juillet 1944,DORTAN,Not available,"1,269",01590,"1,412","1,442",01
108,ZAC sous la Combe,LAVANCIA-EPERCY,"1,299","1,179",01590,"1,335",Not available,01
109,Rue du Figuier,MIRIBEL,Not available,"1,166",01600,"1,328","1,355",01
110,324 Route de Lyon,TREVOUX,Not available,"1,177",01600,"1,354","1,374",01
111,Avenue Lavoisier,MASSIEUX,"1,296","1,171",01600,Not available,"1,375",01
112,RUE DE GENEVE -,SAINT-GENIS-POUILLY,Not available,"1,247",01630,"1,392",Not available,01
113,148 Rue des Chalets,SAINT-GENIS-POUILLY,"1,280","1,169",01630,Not available,"1,365",01
114,ZA DU PRE MUNNY,PéRON,"1,280","1,169",01630,Not available,"1,365",01
115,573 route de Genève,Saint-Jean-le-Vieux,Not available,"1,319",01640,"1,459",Not available,01
116,RN 83,Miribel,"1,323","1,176",01700,Not available,"1,404",01
117,ZAC des Beterses,BEYNOST,"1,279","1,158",01700,"1,319","1,349",01
118,route de Bellegarde,THOIRY,Not available,"1,169",01710,"1,326","1,365",01
119,223 route de Bourg-en-Bresse,Replonges,"1,275","1,169",01750,"1,324",Not available,01
120,47 Route de Lyon,MEXIMIEUX,Not available,"1,176",01800,"1,328","1,382",01
121,11 route de Port-Galland,Saint-Maurice-de-Gourdans,Not available,"1,350",01800,"1,510",Not available,01
122,ROUTE DE CHALAMONT,Meximieux,"1,265","1,182",01800,"1,364","1,392",01
123,Chemin de Bellevue,PERONNAS,Not available,"1,181",01960,"1,334","1,372",01
124,148 Avenue de Lyon,PéRONNAS,Not available,Not available,01960,Not available,Not available,01
125,148 Avenue de Lyon,PéRONNAS,"1,408","1,278",01960,Not available,"1,478",01
126,63 Rue du Bugey,LOYETTES,Not available,"1,274",01980,"1,439",Not available,01
127,ZAC ILE DE FRANCE,LAON,Not available,"1,195",02000,"1,385","1,398",02
128,16 RUE FERNAND CHRIST,LAON,Not available,"1,209",02000,"1,389","1,419",02
129,44 Avenue Charles de Gaulle,Laon,Not available,Not available,02000,Not available,Not available,02
130,97 Avenue Charles de Gaulle,Laon,"1,415","1,287",02000,Not available,"1,525",02
131,16 Boulevard Pierre Brossolette,Laon,"1,403","1,220",02000,Not available,"1,463",02
132,rue Jean Jaures,CHAMBRY,"1,339","1,195",02000,Not available,"1,398",02
133,167 Avenue Pierre Mendès France,Laon,"1,339","1,195",02000,"1,385",Not available,02
134,RUE DU DR MENU,Laon,Not available,"1,195",02000,"1,385","1,405",02
135,Route d'AMIENS,SAINT-QUENTIN,Not available,"1,182",02100,"1,379","1,415",02
136,51 Avenue du Général de Gaulle,SAINT-QUENTIN,Not available,Not available,02100,Not available,Not available,02
137,Boulevard Camille Guérin,SAINT-QUENTIN,Not available,Not available,02100,Not available,Not available,02
138,46 Avenue Faidherbe,Saint-Quentin,"1,366","1,193",02100,Not available,"1,447",02
139,Route de Guise,HARLY,"1,314","1,176",02100,Not available,"1,384",02
140,98 rue Alexandre Dumas,SAINT-QUENTIN,"1,329","1,181",02100,Not available,"1,419",02
141,Route de BOHAIN,Saint-Quentin,"1,278","1,176",02100,"1,340","1,374",02
142,Rue Antoine Parmentier,SAINT-QUENTIN,"1,329","1,179",02100,"1,369",Not available,02
143,60 BIS RUE DE LA FERE,SAINT QUENTIN,Not available,Not available,02100,Not available,Not available,02
144,Rue de la Fère,Saint-Quentin,Not available,"1,175",02100,"1,333","1,359",02
145,25 Boulevard Victor Hugo,SAINT-QUENTIN,Not available,"1,233",02100,"1,456","1,486",02
146,153 Rue de Mulhouse,SAINT-QUENTIN,Not available,"1,179",02100,"1,340","1,417",02
147,BLD CAMILLE GUERIN,SAINT QUENTIN,"1,330","1,177",02100,Not available,"1,417",02
148,rue de la Fère,Neuville-Saint-Amand,"1,314","1,176",02100,Not available,"1,384",02
149,Rue Olivier Deguise,BOHAIN-EN-VERMANDOIS,Not available,Not available,02110,Not available,Not available,02
150,22 rue de Vaux,BOHAIN-EN-VERMANDOIS,"1,358","1,219",02110,"1,415",Not available,02
151,ROUTE DE SAINT QUENTIN,BOHAIN-EN-VERMANDOIS,Not available,"1,219",02110,"1,399","1,419",02
152,56 place du Jeu de Paume,GUISE,Not available,Not available,02120,Not available,Not available,02
153,RUE SADI CARNOT,GUISE,Not available,"1,187",02120,"1,368","1,402",02
154,Rue des Docteurs Devillers,GUISE,"1,345","1,189",02120,Not available,"1,425",02
155,"56, rue du jeu de Paume",Guise,"1,418","1,269",02120,Not available,"1,528",02
156,Rue du Stade,FèRE-EN-TARDENOIS,Not available,"1,179",02130,"1,369","1,399",02
157,Aire de Tardenois - A4,Fresnes-en-Tardenois,Not available,Not available,02130,Not available,Not available,02
158, Avenue de la Gare,FèRE-EN-TARDENOIS,Not available,Not available,02130,Not available,Not available,02
159,autoroute A4 aire de tardenois sud,FRESNES EN TARDENOIS,"1,489","1,369",02130,Not available,"1,569",02
160,Autoroute de l'Est,Fresnes-en-Tardenois,"1,489","1,369",02130,Not available,"1,569",02
161, Place Sohier,Vervins,Not available,"1,196",02140,"1,360","1,392",02
162,ZI de la Briquetterie,Vervins,Not available,"1,217",02140,"1,418","1,455",02
163,"73, Hameau Chaussée de Fontaine - RN2",FONTAINE-LèS-VERVINS,Not available,Not available,02140,Not available,Not available,02
164,RUE DES VERRIERS,LE NOUVION-EN-THIéRACHE,Not available,"1,199",02170,"1,389","1,409",02
165,3 RUE PIERRE CURTIL,Guignicourt,Not available,Not available,02190,Not available,Not available,02
166,AUT A 26- AIRE DU MONT NIZY,JUVINCOURT-ET-DAMARY,Not available,Not available,02190,Not available,Not available,02
167,A26 - Aire du Champ Roland,Guignicourt,"1,474","1,344",02190,Not available,"1,554",02
168,3 Rue Pierre Curtil,GUIGNICOURT,"1,389","1,199",02190,"1,379","1,399",02
169,AUT A 26- AIRE DU MONT NIZY,Juvincourt-et-Damary,"1,474","1,344",02190,Not available,"1,554",02
170,3 Avenue Raymonde Fiolet,Soissons,"1,335","1,175",02200,Not available,"1,397",02
171,9 Rue de Villeneuve,SOISSONS,Not available,Not available,02200,Not available,Not available,02
172,ROUTE DE REIMS,BILLY-SUR-AISNE,Not available,Not available,02200,Not available,Not available,02
173,50 Avenue de Château-Thierry,Soissons,Not available,Not available,02200,Not available,Not available,02
174,AVENUE DE COMPIEGNE,MERCIN-ET-VAUX,Not available,Not available,02200,Not available,Not available,02
175,1 Place de Laon,Soissons,"1,342","1,189",02200,Not available,"1,424",02
176,183 ROUTE DE PARIS ,Vauxbuin,"1,342","1,191",02200,Not available,"1,434",02
177,43 Avenue de Château-Thierry,Belleu,"1,317","1,163",02200,Not available,"1,392",02
178,Avenue de Compiègne,MERCIN-ET-VAUX,Not available,"1,175",02200,"1,344","1,386",02
179,Rue d'Acy,Venizel,Not available,"1,172",02200,"1,339","1,379",02
180,AV.DE COMPIEGNE - RN.31,MERCIN ET VAUX,"1,413","1,269",02200,Not available,"1,523",02
181,50 BIS ROUTE DE CHATEAU THIERRY,SOISSONS,"1,412","1,269",02200,Not available,"1,522",02
182,9 ET 11 RUE DE VILLENEUVE,SOISSONS,"1,325","1,177",02200,Not available,"1,409",02
183, Avenue de la Gare,OULCHY-LE-CHâTEAU,"1,500","1,380",02210,Not available,"1,600",02
184,34 BD DE MONTPELLIER,BRAINE,Not available,"1,199",02220,"1,379","1,409",02
185,1000 rue jean jaures,FRESNOY LE GRAND,Not available,"1,186",02230,"1,349","1,384",02
186,74 Rue Blondel,RIBEMONT,"1,252","1,134",02240,"1,292",Not available,02
